"Space ID: ""90181147772"":KKU-SAC	","Date	","Time	","Task name	","Duration(minutes)	",Baht,,,,,,
,"	26/10/24", 04:40,"	[DevOps] On prd","	81.05 minutes","	283.675 Baht",,,,,,
,"	","	","	","	Baht Sum","	6003.62",,,,,,
,"	","	","	","	Minutes Sum","	1715.32",,,,,,
"					",,,,,,,,,,,
"Space ID: ""90181548832"":KKU-DMS & TDX	","Date	","Time	","Task name	","Duration(minutes)	",Baht,,,,,,
,"	29/09/24", 23:11,"	[BE] save to db on create doc tdx","	147.26 minutes","	515.41 Baht",,,,,,
,"	08/10/24", 23:10,"	[BE] fix: cannot save file on tdx and map to dms database","	76.59 minutes","	268.065 Baht",,,,,,
,"	11/10/24", 01:56,"	[DEVOPS] tdx is on prd","	119.43 minutes","	418.005 Baht",,,,,,
,"	11/10/24", 04:21,"	[BE] map TDX data to DMS database","	0.04 minutes","	0.14 Baht",,,,,,
,"	14/10/24", 19:47,"	[DEVOPS] tdx is on prd","	221.78 minutes","	776.23 Baht",,,,,,
,"	14/10/24", 21:16,"	[DEVOPS] tdx is on prd","	80 minutes","	280 Baht",,,,,,
,"	15/10/24", 00:26,"	[DEVOPS] tdx is on prd","	189.9 minutes","	664.65 Baht",,,,,,
,"	15/10/24", 06:34,"	[Devops][BE] Migrate TDX CreateDocuments then send to other university","	180 minutes","	630 Baht",,,,,,
,"	","	","	","	Baht Sum","	3552.5000000000005",,,,,,
,"	","	","	","	Minutes Sum","	1015",,,,,,
"					",,,,,,,,,,,
"Space ID: ""90181151609"":MaoMao	","Date	","Time	","Task name	","Duration(minutes)	",Baht,,,,,,
,"	03/10/24", 01:40,"	[BE] Friend and Party design and CRUD","	60 minutes","	210 Baht",,,,,,
,"	22/10/24", 03:41,"	[BE] Friend and Party design and CRUD","	94.15 minutes","	329.52500000000003 Baht",,,,,,
,"	22/10/24", 04:37,"	[BE] boardcast dashboard poc","	55.55 minutes","	194.42499999999998 Baht",,,,,,
,"	26/10/24", 13:27,"	[BE] boardcast dashboard poc","	223.56 minutes","	782.46 Baht",,,,,,
,"	","	","	","	Baht Sum","	1516.41",,,,,,
,"	","	","	","	Minutes Sum","	433.26",,,,,,
"					",,,,,,,,,,,
"Space ID: ""90182134544"":Finizer	","Date	","Time	","Task name	","Duration(minutes)	",Baht,,,,,,
,"	26/10/24", 14:39,"	[BE] Setting infrastructure Users model", with CRUD and User details model with CRUD,"	70.94 minutes","	248.29 Baht",,,,,
,"	26/10/24", 17:11,"	[BE] Line login","	152.11 minutes","	532.385 Baht",,,,,,
,"	27/10/24", 13:18,"	[BE] Setting infrastructure Users model", with CRUD and User details model with CRUD,"	61.64 minutes","	215.74 Baht",,,,,
,"	27/10/24", 13:48,"	[BE] ทำนายดวงด้วย BaZi with model save to db and CRUD and Fix the error on builder (no require module Bazi)","	29.89 minutes","	104.61500000000001 Baht",,,,,,
,"	27/10/24", 19:50,"	[BE] ทำนายดวงด้วย BaZi with model save to db and CRUD and Fix the error on builder (no require module Bazi)","	321.46 minutes","	1125.11 Baht",,,,,,
,"	27/10/24", 22:32,"	[BE] Wallpaper model and CRUD","	49.4 minutes","	172.9 Baht",,,,,,
,"	28/10/24", 03:08,"	[BE] Wallpaper model and CRUD","	24.57 minutes","	85.995 Baht",,,,,,
,"	","	","	","	Baht Sum","	2485.035",,,,,,
,"	","	","	","	Minutes Sum","	710.01",,,,,,
"					",,,,,,,,,,,
Total ,13557.565, Baht,,,,,,,,,
,3873.59 Minutes,,,,1500,1500,1000,350,60,120,4530
,,,,,,,,,,,9027.565
